station,day,max_temp_f,min_temp_f,precip_in,avg_wind_speed_kts,avg_rh
BTR,2026-08-01,96.0,77.0,0.0,10.167022,73.93925
BTR,2026-08-02,90.0,76.0,0.0001,4.344881,74.668045
BTR,2026-08-03,93.0,72.0,0.0,3.041417,65.54032
BTR,2026-08-04,96.0,72.0,0.0,2.9545193,70.12799
BTR,2026-08-05,96.0,75.0,0.0001,3.9972906,72.65081
BTR,2026-08-06,91.0,75.0,0.0001,3.041417,76.10781
BTR,2026-08-07,98.0,74.0,0.0001,2.780724,73.25438
BTR,2026-08-08,96.0,73.0,0.0,None,None
BTR,2026-08-09,97.0,73.0,0.13,None,None
BTR,2026-08-10,88.0,75.0,0.6,2.9545193,80.05255
BTR,2026-08-11,96.0,74.0,0.0,4.0841885,72.89692
BTR,2026-08-12,96.0,77.0,0.0,5.12696,71.99455
BTR,2026-08-13,98.0,80.0,0.0,7.646991,69.30113
BTR,2026-08-14,97.0,74.0,0.0,4.2579837,69.86332
BTR,2026-08-15,98.0,77.0,0.0,4.0841885,68.733116
BTR,2026-08-16,97.0,78.0,0.0,4.5186763,72.46973
BTR,2026-08-17,98.0,79.0,0.0001,5.7352433,71.256905
BTR,2026-08-18,97.0,79.0,0.0,7.386298,70.39259
BTR,2026-08-19,97.0,78.0,0.0,7.7338886,70.53768
BTR,2026-08-20,96.0,78.0,0.0,6.8649125,68.85269
BTR,2026-08-21,99.0,74.0,0.25,6.6042194,77.25025
BTR,2026-08-22,98.0,74.0,0.0,2.5200312,73.11374
BTR,2026-08-23,98.0,79.0,0.0,4.171086,75.08972
BTR,2026-08-24,93.0,76.0,0.49,4.431779,87.592575
BTR,2026-08-25,93.0,74.0,0.0,3.041417,81.89586
BTR,2026-08-26,97.0,74.0,0.0,4.5186763,73.448074
BTR,2026-08-27,89.0,74.0,0.78,4.6924715,80.23185
BTR,2026-08-28,96.0,76.0,0.0,3.3890073,69.92898
BTR,2026-08-29,97.0,74.0,0.0,3.7365978,66.19493
BTR,2026-08-30,96.0,74.0,0.0,5.0400624,77.035034
BTR,2026-08-31,92.0,75.0,0.42,5.12696,81.160225
